Date,States,Usage,DayOfYear,Month,DayOfWeek,Season,State_Encoded
2019-01-03,Tamil Nadu,285.2,3,1,3,0,27
2019-01-03,Telangana,204.5,3,1,3,0,28
2019-01-03,Tripura,3.6,3,1,3,0,29
2019-01-03,UP,311.8,3,1,3,0,30
2019-01-03,Uttarakhand,39.3,3,1,3,0,31
2019-01-03,West Bengal,110.2,3,1,3,0,32
2019-01-04,Andhra Pradesh,165.2,4,1,4,0,0
2019-01-04,Arunachal Pradesh,2.2,4,1,4,0,1
2019-01-04,Assam,21.7,4,1,4,0,2
2019-01-04,Bihar,82.9,4,1,4,0,3
2019-01-04,Chandigarh,4.8,4,1,4,0,4
2019-01-04,Chhattisgarh,74.8,4,1,4,0,5
2019-01-04,DNH,16.7,4,1,4,0,6
2019-01-04,Delhi,83.5,4,1,4,0,7
2019-01-04,Goa,12.6,4,1,4,0,8
2019-01-04,Gujarat,301.9,4,1,4,0,9
2019-01-04,HP,30.1,4,1,4,0,10
2019-01-04,Haryana,128.2,4,1,4,0,11
2019-01-04,J&K,53.2,4,1,4,0,12
2019-01-04,Jharkhand,26.3,4,1,4,0,13
2019-01-04,Karnataka,205.3,4,1,4,0,14
2019-01-04,Kerala,73.4,4,1,4,0,15
2019-01-04,MP,239.3,4,1,4,0,16
2019-01-04,Maharashtra,395.8,4,1,4,0,17
2019-01-04,Manipur,2.4,4,1,4,0,18
2019-01-04,Meghalaya,6.3,4,1,4,0,19
2019-01-04,Mizoram,1.7,4,1,4,0,20
2019-01-04,Nagaland,2.2,4,1,4,0,21
2019-01-04,Odisha,66.3,4,1,4,0,22
2019-01-04,Pondy,6.4,4,1,4,0,23
2019-01-04,Punjab,118.8,4,1,4,0,24
2019-01-04,Rajasthan,239.8,4,1,4,0,25
2019-01-04,Sikkim,1.7,4,1,4,0,26
2019-01-04,Tamil Nadu,270.3,4,1,4,0,27
2019-01-04,Telangana,201.2,4,1,4,0,28
2019-01-04,Tripura,3.5,4,1,4,0,29
2019-01-04,UP,320.7,4,1,4,0,30
2019-01-04,Uttarakhand,38.1,4,1,4,0,31
2019-01-04,West Bengal,106.8,4,1,4,0,32
2019-01-05,Andhra Pradesh,167.4,5,1,5,0,0
2019-01-05,Arunachal Pradesh,2.2,5,1,5,0,1
2019-01-05,Assam,22.5,5,1,5,0,2
2019-01-05,Bihar,77.0,5,1,5,0,3
2019-01-05,Chandigarh,4.3,5,1,5,0,4
2019-01-05,Chhattisgarh,69.0,5,1,5,0,5
2019-01-05,DNH,17.6,5,1,5,0,6
2019-01-05,Delhi,79.2,5,1,5,0,7
2019-01-05,Goa,13.0,5,1,5,0,8
2019-01-05,Gujarat,313.2,5,1,5,0,9
2019-01-05,HP,30.2,5,1,5,0,10
2019-01-05,Haryana,127.5,5,1,5,0,11
2019-01-05,J&K,51.5,5,1,5,0,12
2019-01-05,Jharkhand,23.0,5,1,5,0,13
2019-01-05,Karnataka,212.4,5,1,5,0,14
2019-01-05,Kerala,75.4,5,1,5,0,15
2019-01-05,MP,228.2,5,1,5,0,16
2019-01-05,Maharashtra,411.1,5,1,5,0,17
2019-01-05,Manipur,2.7,5,1,5,0,18
2019-01-05,Meghalaya,5.7,5,1,5,0,19
2019-01-05,Mizoram,1.8,5,1,5,0,20
2019-01-05,Nagaland,2.3,5,1,5,0,21
2019-01-05,Odisha,65.8,5,1,5,0,22
2019-01-05,Pondy,6.6,5,1,5,0,23
2019-01-05,Punjab,121.0,5,1,5,0,24
2019-01-05,Rajasthan,239.1,5,1,5,0,25
2019-01-05,Sikkim,2.0,5,1,5,0,26
2019-01-05,Tamil Nadu,286.8,5,1,5,0,27
2019-01-05,Telangana,201.7,5,1,5,0,28
2019-01-05,Tripura,3.5,5,1,5,0,29
2019-01-05,UP,299.0,5,1,5,0,30
2019-01-05,Uttarakhand,39.2,5,1,5,0,31
2019-01-05,West Bengal,107.0,5,1,5,0,32
2019-01-06,Andhra Pradesh,171.2,6,1,6,0,0
2019-01-06,Arunachal Pradesh,2.2,6,1,6,0,1
2019-01-06,Assam,21.7,6,1,6,0,2
2019-01-06,Bihar,76.4,6,1,6,0,3
2019-01-06,Chandigarh,4.3,6,1,6,0,4
2019-01-06,Chhattisgarh,68.1,6,1,6,0,5
2019-01-06,DNH,18.6,6,1,6,0,6
2019-01-06,Delhi,76.6,6,1,6,0,7
2019-01-06,Goa,12.9,6,1,6,0,8
2019-01-06,Gujarat,320.7,6,1,6,0,9
2019-01-06,HP,31.0,6,1,6,0,10
2019-01-06,Haryana,132.6,6,1,6,0,11
2019-01-06,J&K,53.2,6,1,6,0,12
2019-01-06,Jharkhand,22.6,6,1,6,0,13
2019-01-06,Karnataka,217.5,6,1,6,0,14
2019-01-06,Kerala,75.4,6,1,6,0,15
2019-01-06,MP,227.4,6,1,6,0,16
2019-01-06,Maharashtra,408.6,6,1,6,0,17
2019-01-06,Manipur,2.7,6,1,6,0,18
2019-01-06,Meghalaya,6.2,6,1,6,0,19
2019-01-06,Mizoram,1.9,6,1,6,0,20
2019-01-06,Nagaland,2.3,6,1,6,0,21
2019-01-06,Odisha,62.9,6,1,6,0,22
2019-01-06,Pondy,7.2,6,1,6,0,23
2019-01-06,Punjab,121.4,6,1,6,0,24
2019-01-06,Rajasthan,240.4,6,1,6,0,25
2019-01-06,Sikkim,2.0,6,1,6,0,26
2019-01-06,Tamil Nadu,298.3,6,1,6,0,27
2019-01-06,Telangana,194.9,6,1,6,0,28
2019-01-06,Tripura,3.3,6,1,6,0,29
2019-01-06,UP,286.8,6,1,6,0,30
2019-01-06,Uttarakhand,39.2,6,1,6,0,31
2019-01-06,West Bengal,106.4,6,1,6,0,32
2019-01-07,Andhra Pradesh,166.4,7,1,0,0,0
2019-01-07,Arunachal Pradesh,2.2,7,1,0,0,1
2019-01-07,Assam,21.4,7,1,0,0,2
2019-01-07,Bihar,75.3,7,1,0,0,3
2019-01-07,Chandigarh,4.0,7,1,0,0,4
2019-01-07,Chhattisgarh,73.1,7,1,0,0,5
2019-01-07,DNH,18.3,7,1,0,0,6
2019-01-07,Delhi,71.1,7,1,0,0,7
2019-01-07,Goa,12.7,7,1,0,0,8
2019-01-07,Gujarat,319.4,7,1,0,0,9
2019-01-07,HP,30.1,7,1,0,0,10
2019-01-07,Haryana,132.1,7,1,0,0,11
2019-01-07,J&K,53.3,7,1,0,0,12
2019-01-07,Jharkhand,23.9,7,1,0,0,13
2019-01-07,Karnataka,217.4,7,1,0,0,14
2019-01-07,Kerala,74.9,7,1,0,0,15
2019-01-07,MP,230.3,7,1,0,0,16
2019-01-07,Maharashtra,408.1,7,1,0,0,17
2019-01-07,Manipur,2.5,7,1,0,0,18
2019-01-07,Meghalaya,6.1,7,1,0,0,19
2019-01-07,Mizoram,1.8,7,1,0,0,20
2019-01-07,Nagaland,2.3,7,1,0,0,21
2019-01-07,Odisha,64.0,7,1,0,0,22
2019-01-07,Pondy,7.0,7,1,0,0,23
2019-01-07,Punjab,118.0,7,1,0,0,24
2019-01-07,Rajasthan,241.9,7,1,0,0,25
2019-01-07,Sikkim,1.5,7,1,0,0,26
2019-01-07,Tamil Nadu,294.2,7,1,0,0,27
2019-01-07,Telangana,191.9,7,1,0,0,28
2019-01-07,Tripura,3.3,7,1,0,0,29
2019-01-07,UP,294.2,7,1,0,0,30
2019-01-07,Uttarakhand,40.1,7,1,0,0,31
2019-01-07,West Bengal,109.3,7,1,0,0,32
2019-01-08,Andhra Pradesh,160.8,8,1,1,0,0
2019-01-08,Arunachal Pradesh,2.3,8,1,1,0,1
2019-01-08,Assam,20.7,8,1,1,0,2
2019-01-08,Bihar,76.2,8,1,1,0,3
2019-01-08,Chandigarh,3.8,8,1,1,0,4
2019-01-08,Chhattisgarh,74.2,8,1,1,0,5
2019-01-08,DNH,18.1,8,1,1,0,6
2019-01-08,Delhi,69.0,8,1,1,0,7
2019-01-08,Goa,10.9,8,1,1,0,8
2019-01-08,Gujarat,307.9,8,1,1,0,9
2019-01-08,HP,29.2,8,1,1,0,10
2019-01-08,Haryana,121.4,8,1,1,0,11
2019-01-08,J&K,51.2,8,1,1,0,12
2019-01-08,Jharkhand,23.3,8,1,1,0,13
2019-01-08,Karnataka,201.0,8,1,1,0,14
2019-01-08,Kerala,68.2,8,1,1,0,15
2019-01-08,MP,228.8,8,1,1,0,16
2019-01-08,Maharashtra,398.2,8,1,1,0,17
2019-01-08,Manipur,2.6,8,1,1,0,18
2019-01-08,Meghalaya,6.2,8,1,1,0,19
2019-01-08,Mizoram,1.8,8,1,1,0,20
2019-01-08,Nagaland,2.1,8,1,1,0,21
2019-01-08,Odisha,63.6,8,1,1,0,22
2019-01-08,Pondy,6.5,8,1,1,0,23
2019-01-08,Punjab,107.5,8,1,1,0,24
2019-01-08,Rajasthan,237.2,8,1,1,0,25
2019-01-08,Sikkim,1.6,8,1,1,0,26
2019-01-08,Tamil Nadu,279.2,8,1,1,0,27
2019-01-08,Telangana,190.8,8,1,1,0,28
2019-01-08,Tripura,3.3,8,1,1,0,29
2019-01-08,UP,289.4,8,1,1,0,30
2019-01-08,Uttarakhand,37.0,8,1,1,0,31
2019-01-08,West Bengal,102.9,8,1,1,0,32
2019-01-09,Andhra Pradesh,163.0,9,1,2,0,0
2019-01-09,Arunachal Pradesh,2.1,9,1,2,0,1
2019-01-09,Assam,25.8,9,1,2,0,2
2019-01-09,Bihar,56.4,9,1,2,0,3
2019-01-09,Chandigarh,3.9,9,1,2,0,4
2019-01-09,Chhattisgarh,77.2,9,1,2,0,5
2019-01-09,DNH,18.0,9,1,2,0,6
2019-01-09,Delhi,89.2,9,1,2,0,7
2019-01-09,Goa,12.1,9,1,2,0,8
2019-01-09,Gujarat,260.0,9,1,2,0,9
2019-01-09,HP,25.3,9,1,2,0,10
2019-01-09,Haryana,148.2,9,1,2,0,11
2019-01-09,J&K,37.9,9,1,2,0,12
2019-01-09,Jharkhand,19.2,9,1,2,0,13
2019-01-09,Karnataka,173.6,9,1,2,0,14
2019-01-09,Kerala,67.9,9,1,2,0,15
2019-01-09,MP,162.5,9,1,2,0,16
2019-01-09,Maharashtra,400.9,9,1,2,0,17
2019-01-09,Manipur,2.3,9,1,2,0,18
2019-01-09,Meghalaya,6.0,9,1,2,0,19
2019-01-09,Mizoram,1.7,9,1,2,0,20
2019-01-09,Nagaland,2.4,9,1,2,0,21
2019-01-09,Odisha,86.6,9,1,2,0,22
2019-01-09,Pondy,7.6,9,1,2,0,23
2019-01-09,Punjab,132.5,9,1,2,0,24
2019-01-09,Rajasthan,197.0,9,1,2,0,25
2019-01-09,Sikkim,1.1,9,1,2,0,26
2019-01-09,Tamil Nadu,280.4,9,1,2,0,27
2019-01-09,Telangana,167.5,9,1,2,0,28
2019-01-09,Tripura,4.2,9,1,2,0,29
2019-01-09,UP,258.6,9,1,2,0,30
2019-01-09,Uttarakhand,35.9,9,1,2,0,31
2019-01-09,West Bengal,131.7,9,1,2,0,32
2019-01-10,Andhra Pradesh,168.8,10,1,3,0,0
2019-01-10,Arunachal Pradesh,2.1,10,1,3,0,1
2019-01-10,Assam,25.8,10,1,3,0,2
2019-01-10,Bihar,69.9,10,1,3,0,3
2019-01-10,Chandigarh,3.9,10,1,3,0,4
2019-01-10,Chhattisgarh,79.0,10,1,3,0,5
2019-01-10,DNH,17.8,10,1,3,0,6
2019-01-10,Delhi,92.8,10,1,3,0,7
2019-01-10,Goa,12.1,10,1,3,0,8
2019-01-10,Gujarat,268.3,10,1,3,0,9
2019-01-10,HP,26.5,10,1,3,0,10
2019-01-10,Haryana,157.0,10,1,3,0,11
2019-01-10,J&K,31.7,10,1,3,0,12
2019-01-10,Jharkhand,21.8,10,1,3,0,13
2019-01-10,Karnataka,176.0,10,1,3,0,14
2019-01-10,Kerala,68.9,10,1,3,0,15
2019-01-10,MP,159.6,10,1,3,0,16
2019-01-10,Maharashtra,409.7,10,1,3,0,17
2019-01-10,Manipur,2.4,10,1,3,0,18
2019-01-10,Meghalaya,6.2,10,1,3,0,19
2019-01-10,Mizoram,1.7,10,1,3,0,20
2019-01-10,Nagaland,2.1,10,1,3,0,21
2019-01-10,Odisha,78.8,10,1,3,0,22
2019-01-10,Pondy,7.9,10,1,3,0,23
2019-01-10,Punjab,131.5,10,1,3,0,24
2019-01-10,Rajasthan,199.9,10,1,3,0,25
2019-01-10,Sikkim,1.1,10,1,3,0,26
2019-01-10,Tamil Nadu,290.8,10,1,3,0,27
2019-01-10,Telangana,173.4,10,1,3,0,28
2019-01-10,Tripura,4.3,10,1,3,0,29
2019-01-10,UP,284.2,10,1,3,0,30
2019-01-10,Uttarakhand,35.3,10,1,3,0,31
2019-01-10,West Bengal,140.1,10,1,3,0,32
2019-01-11,Andhra Pradesh,167.7,11,1,4,0,0
2019-01-11,Arunachal Pradesh,2.1,11,1,4,0,1
2019-01-11,Assam,27.9,11,1,4,0,2
2019-01-11,Bihar,76.2,11,1,4,0,3
2019-01-11,Chandigarh,3.4,11,1,4,0,4
2019-01-11,Chhattisgarh,80.7,11,1,4,0,5
2019-01-11,DNH,16.9,11,1,4,0,6
2019-01-11,Delhi,79.5,11,1,4,0,7
2019-01-11,Goa,12.1,11,1,4,0,8
2019-01-11,Gujarat,275.0,11,1,4,0,9
2019-01-11,HP,23.9,11,1,4,0,10
2019-01-11,Haryana,145.3,11,1,4,0,11
2019-01-11,J&K,37.3,11,1,4,0,12
2019-01-11,Jharkhand,23.3,11,1,4,0,13
2019-01-11,Karnataka,157.0,11,1,4,0,14
2019-01-11,Kerala,67.4,11,1,4,0,15
2019-01-11,MP,154.3,11,1,4,0,16
2019-01-11,Maharashtra,405.2,11,1,4,0,17
2019-01-11,Manipur,2.4,11,1,4,0,18
2019-01-11,Meghalaya,6.2,11,1,4,0,19
2019-01-11,Mizoram,1.8,11,1,4,0,20
2019-01-11,Nagaland,2.1,11,1,4,0,21
2019-01-11,Odisha,78.4,11,1,4,0,22
2019-01-11,Pondy,7.1,11,1,4,0,23
2019-01-11,Punjab,130.3,11,1,4,0,24
2019-01-11,Rajasthan,187.7,11,1,4,0,25
2019-01-11,Sikkim,0.8,11,1,4,0,26
2019-01-11,Tamil Nadu,270.5,11,1,4,0,27
2019-01-11,Telangana,166.7,11,1,4,0,28
2019-01-11,Tripura,4.3,11,1,4,0,29
2019-01-11,UP,281.4,11,1,4,0,30
2019-01-11,Uttarakhand,30.1,11,1,4,0,31
2019-01-11,West Bengal,149.8,11,1,4,0,32
2019-01-12,Andhra Pradesh,168.1,12,1,5,0,0
2019-01-12,Arunachal Pradesh,2.1,12,1,5,0,1
2019-01-12,Assam,30.1,12,1,5,0,2
2019-01-12,Bihar,82.3,12,1,5,0,3
2019-01-12,Chandigarh,4.0,12,1,5,0,4
2019-01-12,Chhattisgarh,85.2,12,1,5,0,5
2019-01-12,DNH,17.6,12,1,5,0,6
2019-01-12,Delhi,92.6,12,1,5,0,7
2019-01-12,Goa,12.2,12,1,5,0,8
2019-01-12,Gujarat,294.1,12,1,5,0,9
2019-01-12,HP,26.4,12,1,5,0,10
2019-01-12,Haryana,151.9,12,1,5,0,11
2019-01-12,J&K,34.6,12,1,5,0,12
2019-01-12,Jharkhand,24.3,12,1,5,0,13
2019-01-12,Karnataka,163.5,12,1,5,0,14
2019-01-12,Kerala,69.9,12,1,5,0,15
2019-01-12,MP,161.1,12,1,5,0,16
2019-01-12,Maharashtra,421.8,12,1,5,0,17
2019-01-12,Manipur,2.5,12,1,5,0,18
2019-01-12,Meghalaya,6.0,12,1,5,0,19
2019-01-12,Mizoram,1.8,12,1,5,0,20
2019-01-12,Nagaland,2.0,12,1,5,0,21
2019-01-12,Odisha,82.4,12,1,5,0,22
2019-01-12,Pondy,8.0,12,1,5,0,23
2019-01-12,Punjab,137.9,12,1,5,0,24
2019-01-12,Rajasthan,189.9,12,1,5,0,25
2019-01-12,Sikkim,1.0,12,1,5,0,26
2019-01-12,Tamil Nadu,298.4,12,1,5,0,27
2019-01-12,Telangana,173.2,12,1,5,0,28
2019-01-12,Tripura,4.6,12,1,5,0,29
2019-01-12,UP,298.6,12,1,5,0,30
2019-01-12,Uttarakhand,34.7,12,1,5,0,31
2019-01-12,West Bengal,154.7,12,1,5,0,32
2019-01-13,Andhra Pradesh,164.9,13,1,6,0,0
2019-01-13,Arunachal Pradesh,2.1,13,1,6,0,1
2019-01-13,Assam,30.1,13,1,6,0,2
2019-01-13,Bihar,87.7,13,1,6,0,3
2019-01-13,Chandigarh,3.8,13,1,6,0,4
2019-01-13,Chhattisgarh,87.6,13,1,6,0,5
2019-01-13,DNH,17.6,13,1,6,0,6
2019-01-13,Delhi,89.4,13,1,6,0,7
2019-01-13,Goa,12.4,13,1,6,0,8
2019-01-13,Gujarat,301.2,13,1,6,0,9
2019-01-13,HP,26.4,13,1,6,0,10
2019-01-13,Haryana,141.4,13,1,6,0,11
2019-01-13,J&K,32.7,13,1,6,0,12
2019-01-13,Jharkhand,24.8,13,1,6,0,13
2019-01-13,Karnataka,162.4,13,1,6,0,14
2019-01-13,Kerala,72.4,13,1,6,0,15
2019-01-13,MP,168.6,13,1,6,0,16
2019-01-13,Maharashtra,408.3,13,1,6,0,17
2019-01-13,Manipur,2.5,13,1,6,0,18
2019-01-13,Meghalaya,5.9,13,1,6,0,19
2019-01-13,Mizoram,1.8,13,1,6,0,20
2019-01-13,Nagaland,2.2,13,1,6,0,21
2019-01-13,Odisha,84.3,13,1,6,0,22
2019-01-13,Pondy,8.4,13,1,6,0,23
2019-01-13,Punjab,135.8,13,1,6,0,24
2019-01-13,Rajasthan,186.9,13,1,6,0,25
2019-01-13,Sikkim,1.0,13,1,6,0,26
2019-01-13,Tamil Nadu,314.1,13,1,6,0,27
2019-01-13,Telangana,176.9,13,1,6,0,28
2019-01-13,Tripura,4.8,13,1,6,0,29
2019-01-13,UP,310.0,13,1,6,0,30
2019-01-13,Uttarakhand,36.7,13,1,6,0,31
2019-01-13,West Bengal,155.3,13,1,6,0,32
2019-01-14,Andhra Pradesh,163.3,14,1,0,0,0
2019-01-14,Arunachal Pradesh,2.1,14,1,0,0,1
2019-01-14,Assam,31.7,14,1,0,0,2
2019-01-14,Bihar,88.2,14,1,0,0,3
2019-01-14,Chandigarh,3.5,14,1,0,0,4
2019-01-14,Chhattisgarh,89.6,14,1,0,0,5
2019-01-14,DNH,18.5,14,1,0,0,6
2019-01-14,Delhi,82.2,14,1,0,0,7
2019-01-14,Goa,12.4,14,1,0,0,8
2019-01-14,Gujarat,305.6,14,1,0,0,9
2019-01-14,HP,26.9,14,1,0,0,10
2019-01-14,Haryana,143.8,14,1,0,0,11
2019-01-14,J&K,37.6,14,1,0,0,12
2019-01-14,Jharkhand,24.8,14,1,0,0,13
2019-01-14,Karnataka,156.7,14,1,0,0,14
2019-01-14,Kerala,69.6,14,1,0,0,15
2019-01-14,MP,170.7,14,1,0,0,16
2019-01-14,Maharashtra,406.3,14,1,0,0,17
2019-01-14,Manipur,2.5,14,1,0,0,18
2019-01-14,Meghalaya,5.4,14,1,0,0,19
2019-01-14,Mizoram,1.8,14,1,0,0,20
2019-01-14,Nagaland,2.1,14,1,0,0,21
2019-01-14,Odisha,85.7,14,1,0,0,22
2019-01-14,Pondy,8.3,14,1,0,0,23
2019-01-14,Punjab,139.3,14,1,0,0,24
2019-01-14,Rajasthan,195.2,14,1,0,0,25
2019-01-14,Sikkim,0.9,14,1,0,0,26
2019-01-14,Tamil Nadu,305.9,14,1,0,0,27
2019-01-14,Telangana,177.0,14,1,0,0,28
2019-01-14,Tripura,5.0,14,1,0,0,29
2019-01-14,UP,319.5,14,1,0,0,30
2019-01-14,Uttarakhand,35.5,14,1,0,0,31
2019-01-14,West Bengal,143.9,14,1,0,0,32
2019-01-15,Andhra Pradesh,160.7,15,1,1,0,0
2019-01-15,Arunachal Pradesh,2.2,15,1,1,0,1
2019-01-15,Assam,29.2,15,1,1,0,2
2019-01-15,Bihar,93.7,15,1,1,0,3
2019-01-15,Chandigarh,3.2,15,1,1,0,4
2019-01-15,Chhattisgarh,88.0,15,1,1,0,5
2019-01-15,DNH,17.3,15,1,1,0,6
2019-01-15,Delhi,77.8,15,1,1,0,7
2019-01-15,Goa,12.4,15,1,1,0,8
2019-01-15,Gujarat,290.5,15,1,1,0,9
2019-01-15,HP,25.6,15,1,1,0,10
2019-01-15,Haryana,142.9,15,1,1,0,11
2019-01-15,J&K,39.5,15,1,1,0,12
2019-01-15,Jharkhand,24.8,15,1,1,0,13
2019-01-15,Karnataka,138.7,15,1,1,0,14
2019-01-15,Kerala,64.2,15,1,1,0,15
2019-01-15,MP,170.2,15,1,1,0,16
2019-01-15,Maharashtra,392.1,15,1,1,0,17
2019-01-15,Manipur,2.5,15,1,1,0,18
2019-01-15,Meghalaya,5.2,15,1,1,0,19
2019-01-15,Mizoram,1.7,15,1,1,0,20
2019-01-15,Nagaland,2.2,15,1,1,0,21
2019-01-15,Odisha,82.1,15,1,1,0,22
2019-01-15,Pondy,7.4,15,1,1,0,23
2019-01-15,Punjab,141.1,15,1,1,0,24
2019-01-15,Rajasthan,185.4,15,1,1,0,25
2019-01-15,Sikkim,0.7,15,1,1,0,26
2019-01-15,Tamil Nadu,288.7,15,1,1,0,27
2019-01-15,Telangana,174.3,15,1,1,0,28
2019-01-15,Tripura,4.8,15,1,1,0,29
2019-01-15,UP,326.7,15,1,1,0,30
2019-01-15,Uttarakhand,34.3,15,1,1,0,31
2019-01-15,West Bengal,143.4,15,1,1,0,32
2019-01-16,Andhra Pradesh,155.2,16,1,2,0,0
2019-01-16,Arunachal Pradesh,2.2,16,1,2,0,1
2019-01-16,Assam,31.3,16,1,2,0,2
2019-01-16,Bihar,93.5,16,1,2,0,3
2019-01-16,Chandigarh,6.0,16,1,2,0,4
2019-01-16,Chhattisgarh,89.2,16,1,2,0,5
2019-01-16,DNH,18.9,16,1,2,0,6
2019-01-16,Delhi,111.8,16,1,2,0,7
2019-01-16,Goa,11.3,16,1,2,0,8
2019-01-16,Gujarat,299.5,16,1,2,0,9
2019-01-16,HP,29.4,16,1,2,0,10
2019-01-16,Haryana,180.5,16,1,2,0,11
2019-01-16,J&K,41.8,16,1,2,0,12
2019-01-16,Jharkhand,22.1,16,1,2,0,13
2019-01-16,Karnataka,175.2,16,1,2,0,14
2019-01-16,Kerala,68.5,16,1,2,0,15
2019-01-16,MP,185.1,16,1,2,0,16
2019-01-16,Maharashtra,377.1,16,1,2,0,17
2019-01-16,Manipur,2.3,16,1,2,0,18
2019-01-16,Meghalaya,5.6,16,1,2,0,19
2019-01-16,Mizoram,1.8,16,1,2,0,20
2019-01-16,Nagaland,2.2,16,1,2,0,21
2019-01-16,Odisha,82.6,16,1,2,0,22
2019-01-16,Pondy,7.6,16,1,2,0,23
2019-01-16,Punjab,231.9,16,1,2,0,24
2019-01-16,Rajasthan,175.3,16,1,2,0,25
2019-01-16,Sikkim,0.7,16,1,2,0,26
2019-01-16,Tamil Nadu,301.4,16,1,2,0,27
2019-01-16,Telangana,161.3,16,1,2,0,28
2019-01-16,Tripura,5.8,16,1,2,0,29
2019-01-16,UP,399.0,16,1,2,0,30
2019-01-16,Uttarakhand,41.0,16,1,2,0,31
2019-01-16,West Bengal,152.9,16,1,2,0,32
2019-01-17,Andhra Pradesh,161.8,17,1,3,0,0
2019-01-17,Arunachal Pradesh,2.2,17,1,3,0,1
2019-01-17,Assam,33.1,17,1,3,0,2
2019-01-17,Bihar,98.9,17,1,3,0,3
2019-01-17,Chandigarh,5.6,17,1,3,0,4
2019-01-17,Chhattisgarh,83.5,17,1,3,0,5
2019-01-17,DNH,18.4,17,1,3,0,6
2019-01-17,Delhi,115.6,17,1,3,0,7
2019-01-17,Goa,11.3,17,1,3,0,8
2019-01-17,Gujarat,282.0,17,1,3,0,9
2019-01-17,HP,29.8,17,1,3,0,10
2019-01-17,Haryana,196.4,17,1,3,0,11
2019-01-17,J&K,42.3,17,1,3,0,12
2019-01-17,Jharkhand,22.3,17,1,3,0,13
2019-01-17,Karnataka,167.1,17,1,3,0,14
2019-01-17,Kerala,70.3,17,1,3,0,15
2019-01-17,MP,183.7,17,1,3,0,16
2019-01-17,Maharashtra,368.4,17,1,3,0,17
2019-01-17,Manipur,2.5,17,1,3,0,18
2019-01-17,Meghalaya,5.5,17,1,3,0,19
2019-01-17,Mizoram,1.8,17,1,3,0,20
2019-01-17,Nagaland,2.2,17,1,3,0,21
2019-01-17,Odisha,85.9,17,1,3,0,22
